 Number of Inputs | Biggest Input   | Transaction Value | Transaction Fee | Transaction ID 
 1                | 890.83685417    | 890.83685417      | 0.0005          | 1652b573c8fb2d16c50e3db683dca2b3f474c16c71d244deb17836beef22a7ab 
 1                | 918.65615511    | 918.65615511      | 0.0005          | 90829328fd0ec661244c9004ab172d30bc36676493f9f8c8b954a8ac67bf6451 
 1                | 918.67865511    | 918.67865511      | 0.0005          | a33007eab6a035b92b618628a2b396329d1926df900121104d1e69bfa66a05ef 
 1                | 921.65042456    | 921.65042456      | 0.0005          | 3764636de156f05e5cd476b8aaa976ebcbfa77b03b74e7ca6327065d0a510529 
 1                | 927.57054671    | 927.57054671      | 0.0005          | 05ce194bbf43b6161eb68103b7fe7fc064f4f0e8d6b2837d3f4d63f396180d76 
 1                | 928.33139065    | 928.33139065      | 0.0005          | eaffe0b9ee26f648b06d5ddafd35d86827040004a2337271da4c4631e33c462f 
 1                | 930.83632872    | 930.83632872      | 0.0005          | b9ec43fa88672058206defc242b4d85e33811852ae2fba607683a45703449aba 
 1                | 933.76843362    | 933.76843362      | 0.0005          | e558cea4ebe075203b3a67ab031e514584693d62335fcca550a0912e7ec80031 
 1                | 936.06733362    | 936.06733362      | 0.0005          | 9cac6dd288c95d7a4e0051d7c89ca1d1570fd1752aedf05bf63372d6015ea8b6 
 1                | 937.04899066    | 937.04899066      | 0.0005          | e37768585a5d56e72c7d64fc4bd9e74f77dbff6ba7cc92754209c876377a76eb 
 1                | 939.1166543     | 939.1166543       | 0.0005          | 944d4913ffb2effd1cff8883a4572d80936df248be4addda6382601e05946435 
 1                | 940.41283864    | 940.41283864      | 0.0005          | 2a3a6613fb86e8da805e070a8cc86a5efd2e06ca9e258abc8559e64d81961f4d 
 1                | 940.74233864    | 940.74233864      | 0.0005          | dbb32f0fe575db2b07d2910beb7f6b5f7cb74ba9df7a5c2f627fb069ea451a76 
 1                | 943.71369029    | 943.71369029      | 0.0005          | bb4de1df4e7f16fbf5979282ce2acd077d3839f90edaa42b007d96a72568bb01 
 1                | 949.50808303    | 949.50808303      | 0.0005          | af671b7a873508087d53026c57defeed59654257bb659f723e1a6385e6952ada 
 1                | 953.60051754    | 953.60051754      | 0.0005          | a69ed2526f3567781673c124a93079573dadb652e86612b73c7eba6f46db50d0 
 1                | 953.81770754    | 953.81770754      | 0.0005          | 34b223f63e81f243fba8209f01da8cbc369bacd40b03c60f3c94961d8b5ba06a 
 1                | 955.65448139    | 955.65448139      | 0.0005          | 756320bf7b7c2250b688ac942142037be5e9a76028f0bd19b9cec7aed371b60f 
 1                | 956.11752692    | 956.11752692      | 0.0005          | b3247548a06d8d9edcd65ad7766a228f4356c108acffb8d60e3c017bbf8c0997 
 1                | 993.8840343     | 993.8840343       | 0.0005          | 42bb74fda82cab6dfed4c5b52d26850b68856f9a76788ff7d87cba1b0618580f 
